"","OTUid","fgOcc.C","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"6","OTU_16",0,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Schizopora","Schizopora_flavipora"
"7","OTU_17",0,"Fungi","Basidiomycota","Tremellomycetes","Tremellomycetes_unidentified_sp_1768","Tremellomycetes_unidentified_sp_1768","Tremellomycetes_unidentified_sp_1768","Tremellomycetes_unidentified_sp_1768"
"8","OTU_18",0,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_sp_24673"
"9","OTU_19",0,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziales_unidentified_sp_2837","Malasseziales_unidentified_sp_2837","Malasseziales_unidentified_sp_2837"
"10","OTU_20",0,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrypaceae_unidentified_sp_2865","Diatrypaceae_unidentified_sp_2865"
"11","OTU_21",0,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus_sp_717"
"13","OTU_24",0,"Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriaceae","Nigrospora","Nigrospora_oryzae"
"17","OTU_29",0,"Fungi","Ascomycota","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811","Ascomycota_unidentified_sp_1811"
"18","OTU_30",0,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygosaccharomyces","Zygosaccharomyces_rouxii"
"21","OTU_33",0,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Simplicillium","Simplicillium_aogashimaense"
"22","OTU_35",0,"Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Uromyces","Uromyces_striolatus"
"27","OTU_42",0,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Schizoporaceae_unidentified_sp_2139","Schizoporaceae_unidentified_sp_2139"
"28","OTU_43",0,"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaetopsis","Hymenochaetopsis_corrugata"
"29","OTU_46",0,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_unidentified_sp_10338","Auriculariales_unidentified_sp_10338","Auriculariales_unidentified_sp_10338"
"32","OTU_56",0,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces_paradoxus"
"35","OTU_64",0,"Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia_sp_10006"
"36","OTU_65",0,"Fungi","Basidiomycota","Basidiomycota_unidentified_sp_28088","Basidiomycota_unidentified_sp_28088","Basidiomycota_unidentified_sp_28088","Basidiomycota_unidentified_sp_28088","Basidiomycota_unidentified_sp_28088"
"37","OTU_68",0,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmiaceae_unidentified_sp_21518","Marasmiaceae_unidentified_sp_21518"
"39","OTU_75",0,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp_1406"
"40","OTU_77",0,"Fungi","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341","Fungi_unidentified_sp_13341"
"42","OTU_84",0,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla_aquaeductuum"
